Distance,Time,Transit Time
75,4,5.3
65,3,4.6
40,1,2.5
60,5,8.3
50,1,2
55,1,1.8
130,1,0.8
45,1,2.2
105,5,4.8
140,4,2.9
120,5,4.2
80,5,6.3
75,5,6.7
60,12,20
60,11.5,19.2
35,2,5.7
70,2,2.9
35,2,5.7
55,2,3.6
90,1,1.1
260,10,3.8
175,1,0.6
70,7,10
85,7,8.2
140,2,1.4
120,1,0.8
105,2,1.9
90,3,3.3
80,1,1.3
65,1,1.5
70,1,1.4
50,1,2
115,4,3.5
100,4,4
95,3,3.2
85,3,3.5
30,2,6.7
10,2,20
60,3,5
35,3,8.6
40,7,17.5
55,3,5.5
250,4,1.6
300,5,1.7
90,2,2.2
