Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.0217,33,0.0329,53,0.0194,29
0.0175,27,0.0202,36,0.0219,29
0.0249,36,0.0279,49,0.0164,24
0.0228,32,0.0248,42,0.0197,26
0.0176,26,0.0232,40,0.0163,21
0.0233,33,0.0272,46,0.0166,24
0.0268,42,0.0256,46,0.0205,33
0.0279,40,0.0291,48,0.0262,30
0.0191,28,0.0282,45,0.0319,42
0.0197,28,0.0275,46,0.024,35
0.0231,36,0.0307,52,0.0166,28
0.035,50,0.0374,64,0.025,41
0.0223,36,0.0328,53,0.0236,36
0.0291,45,0.0357,60,0.0246,36
0.0259,40,0.0367,61,0.0255,34
0.0272,37,0.0361,57,0.0272,35
0.0279,38,0.0358,61,0.0265,38
0.0234,35,0.0342,53,0.0226,33
0.0279,40,0.0345,57,0.0296,40
0.0222,33,0.0376,66,0.0298,50
0.0328,45,0.0372,61,0.0311,42
0.0301,43,0.0444,71,0.0302,43
0.0267,39,0.0465,78,0.0311,44
0.0404,61,0.0474,78,0.0358,48
0.033,49,0.0466,71,0.0365,45
0.0422,61,0.0534,85,0.0265,40
0.044,63,0.0452,75,0.0336,41
0.0351,52,0.0529,85,0.0352,49
0.0374,55,0.0496,83,0.0316,47
0.0432,61,0.0556,88,0.0368,47
0.0342,50,0.0525,86,0.0346,50
0.0335,49,0.045,76,0.0387,52
0.0447,64,0.055,83,0.0323,51
0.0413,62,0.0485,80,0.0414,55
0.0423,60,0.0501,88,0.0436,59
0.0464,68,0.0522,91,0.0422,62
0.0428,61,0.0489,83,0.0376,54
0.0582,84,0.0585,101,0.0362,50
0.0564,79,0.0594,101,0.0485,52
0.0484,71,0.0526,87,0.0367,55
0.0505,70,0.049,82,0.0413,59
0.0401,57,0.057,92,0.0409,53
0.0724,100,0.0694,104,0.0401,55
0.0678,88,0.0583,91,0.0468,61
0.0623,82,0.0556,84,0.0432,57
0.0638,85,0.0551,80,0.0423,57
0.0622,82,0.0587,90,0.0392,47
0.0603,81,0.0656,98,0.0406,53
0.0513,71,0.057,86,0.0431,55
0.0619,87,0.0519,80,0.0377,45
0.0608,81,0.0634,91,0.0364,45
0.0586,80,0.0554,87,0.0397,52
0.042,60,0.0527,85,0.0335,52
0.0498,69,0.0549,88,0.0331,56
0.0653,87,0.0609,92,0.0385,52
0.0664,88,0.0598,93,0.0454,58
0.0708,91,0.0792,109,0.0435,59
0.0663,87,0.0664,98,0.0489,73
0.0677,90,0.063,87,0.0403,59
0.0798,106,0.0655,93,0.0486,57
0.0528,72,0.0553,84,0.042,60
0.0577,78,0.0616,98,0.0455,62
0.0701,95,0.0632,100,0.0429,59
0.064,88,0.0744,118,0.0396,53
0.0551,76,0.0547,86,0.0357,52
0.0819,111,0.0625,100,0.0445,56
0.058,81,0.0629,100,0.0421,60
0.0778,108,0.065,103,0.0505,68
0.0693,95,0.0641,97,0.0448,58
0.0791,106,0.064,102,0.0549,76
0.0604,83,0.0547,90,0.0379,52
0.0478,69,0.0583,98,0.0388,55
0.0484,69,0.0592,94,0.0505,70
0.0651,98,0.0603,97,0.0438,60
0.0678,97,0.0595,101,0.0495,68
0.0583,83,0.0645,105,0.0378,55
0.0584,85,0.06,97,0.0494,70
0.0541,75,0.0561,92,0.0377,56
0.0369,53,0.0555,94,0.0448,60
0.0678,96,0.0614,104,0.045,69
0.0549,77,0.0638,102,0.0483,70
0.061,85,0.0559,91,0.0389,57
0.0664,99,0.0625,107,0.0435,66
0.046,67,0.0515,87,0.0419,61
0.0546,81,0.0585,102,0.0454,65
0.0492,71,0.0612,109,0.033,50
0.0431,67,0.0528,90,0.0341,52
0.0472,68,0.0553,94,0.0481,70
0.0491,72,0.0619,104,0.0416,62
0.0618,89,0.0599,90,0.041,60
0.0531,78,0.0638,101,0.0468,67
0.1218,166,0.0968,143,0.0605,90
0.1589,157,0.1344,144,0.0851,94
0.2715,138,0.2402,131,0.127,86
0.3018,133,0.2799,128,0.1491,88
0.2755,131,0.2421,118,0.1264,87
0.2635,138,0.2162,123,0.111,79
0.2441,136,0.1961,127,0.1349,85
0.1794,130,0.1465,126,0.0769,72
0.079,112,0.0759,121,0.0504,64
0.0618,90,0.0657,111,0.0556,84
0.0697,98,0.0627,103,0.0577,81
0.0638,90,0.0736,123,0.0471,70
0.0663,95,0.0607,104,0.0532,78
0.0668,91,0.0745,123,0.0558,81
0.064,88,0.0586,97,0.0509,71
0.0698,102,0.0705,119,0.0486,73
0.0636,91,0.066,113,0.0524,66
0.0691,99,0.0635,109,0.0459,71
0.0511,76,0.0598,103,0.0456,73
0.0638,93,0.0552,95,0.0458,66
0.0639,93,0.0759,119,0.0473,66
0.0696,100,0.0686,108,0.0484,65
0.0668,92,0.058,98,0.0599,86
0.0875,125,0.0718,122,0.049,72
0.072,103,0.0638,110,0.0477,71
0.06,89,0.0548,87,0.0406,59
0.0498,73,0.0517,89,0.0432,60
0.06,86,0.0542,94,0.0472,68
0.0558,79,0.0588,98,0.0417,61
0.0573,84,0.0563,94,0.0348,53
0.0726,103,0.0584,98,0.0399,56
0.063,93,0.0586,99,0.0358,55
0.0554,79,0.0547,94,0.0365,58
0.0531,77,0.0553,93,0.0423,59
0.0516,74,0.058,98,0.0427,62
0.0496,72,0.0599,99,0.0516,65
0.0478,73,0.0561,95,0.0373,59
0.0459,67,0.055,90,0.0349,50
0.0572,80,0.0506,82,0.0507,69
0.0345,50,0.052,85,0.0364,54
0.0561,78,0.0515,85,0.0452,58
0.0397,60,0.0494,79,0.0278,44
0.0578,83,0.0599,98,0.0446,61
0.054,73,0.0596,94,0.0499,57
0.0511,68,0.0569,86,0.0446,59
0.0464,57,0.0553,81,0.0432,56
0.0609,75,0.0559,81,0.0408,47
0.0551,69,0.0651,91,0.0473,52
0.0389,50,0.058,85,0.0327,47
0.0441,56,0.0478,70,0.038,48
0.0611,77,0.0677,95,0.0349,45
0.0509,62,0.0424,68,0.0338,44
0.0527,70,0.0587,85,0.0428,51
0.0539,70,0.0527,83,0.0354,48
0.0431,56,0.0571,84,0.04,53
0.0451,61,0.052,81,0.0348,51
0.0381,51,0.0443,67,0.0329,44
0.0345,48,0.0536,85,0.0299,46
0.0487,66,0.052,78,0.0341,47
0.0575,72,0.0553,87,0.0357,52
0.0332,44,0.041,69,0.0296,43
0.0456,64,0.0445,72,0.0323,51
0.0373,54,0.0464,75,0.0327,44
0.0327,47,0.0369,58,0.0326,42
0.0307,44,0.0474,75,0.0307,41
0.0432,59,0.0372,59,0.0274,40
0.0367,53,0.0425,69,0.0344,41
0.0309,45,0.0431,73,0.0299,39
0.0245,34,0.0413,65,0.0275,35
0.038,51,0.0406,68,0.0398,50
0.0322,45,0.0397,66,0.0369,50
0.0406,58,0.0422,70,0.0366,53
0.026,37,0.038,62,0.0279,39
0.0302,44,0.034,56,0.0291,45
0.0357,51,0.0392,65,0.0345,49
0.0277,40,0.0359,59,0.0258,36
0.0342,47,0.0333,56,0.0345,43
0.0262,37,0.0406,67,0.0288,37
0.0244,36,0.0373,63,0.0286,42
0.0403,58,0.036,62,0.0272,38
0.0232,34,0.037,62,0.0262,34
0.0191,28,0.0288,45,0.0279,37
0.0245,36,0.0322,56,0.0243,38
0.0308,43,0.0423,70,0.0311,46
0.0262,38,0.0317,50,0.0207,33
0.0147,20,0.0327,49,0.022,30
0.0257,38,0.0279,48,0.0195,29
0.0206,30,0.0331,52,0.0257,34
0.0228,32,0.0314,50,0.0215,27
0.0206,29,0.0282,47,0.0129,21
0.0162,25,0.0257,40,0.0144,22
0.0138,18,0.025,41,0.0177,20
0.0169,24,0.0257,45,0.0147,25
0.016,22,0.0324,49,0.017,24
0.0182,24,0.0301,50,0.0169,25
0.0146,19,0.0237,40,0.0187,25
0.0131,18,0.0188,33,0.0185,23
0.0111,16,0.0224,38,0.0182,27
0.0121,17,0.025,42,0.0153,24
0.0113,15,0.0208,35,0.0137,17
0.0174,23,0.021,34,0.0225,26
0.0068,10,0.0234,39,0.0117,19
0.0097,15,0.0139,23,0.0189,21
0.01,15,0.0153,27,0.0134,20
0.0098,14,0.0208,34,0.0109,18
0.0068,9,0.0194,32,0.0087,15
0.007,9,0.0099,17,0.0119,14
0.0063,9,0.0129,23,0.0138,16
0.0101,15,0.0203,34,0.011,19
0.01,14,0.019,30,0.0135,16
0.0081,12,0.0186,31,0.0075,12
0.0068,9,0.0166,26,0.0139,17
0.0047,7,0.0134,21,0.0102,16
0.0102,13,0.0127,22,0.0141,14
0.0036,6,0.0149,25,0.0117,15
0.0019,3,0.0099,16,0.0113,8
0.0035,5,0.0082,14,0.0087,11
0.0012,2,0.0118,20,0.0092,6
0.0052,8,0.007,12,0.0083,10
0.0006,1,0.0096,14,0.0056,9
0.0031,4,0.0062,11,0.0136,12
0.0033,5,0.0049,9,0.0088,10
0.0022,4,0.0089,12,0.0187,13
0.0022,4,0.0043,8,0.0103,14
0.0018,3,0.004,7,0.0083,7
0.003,4,0.0058,10,0.0043,5
0.0033,5,0.0091,14,0.0053,9
0.0031,5,0.0107,12,0.0118,12
0.0059,9,0.0052,8,0.0081,7
0,0,0.0061,7,0.0075,13
0.0006,1,0.0088,12,0.0048,5
0,0,0.0033,6,0.0057,6
0.0032,5,0.0035,6,0.0121,11
0.0013,2,0.008,14,0.0081,7
0.0007,1,0.0087,12,0.0082,6
0.0031,4,0.0068,11,0.0092,7
0.0011,2,0.0041,7,0.0097,6
0.0025,4,0.0083,12,0.0145,11
0.0017,2,0.0045,7,0.0092,6
0,0,0.0042,5,0.0127,8
0.0034,5,0.0034,6,0.0116,8
0.0017,3,0.0074,8,0.0076,8
0.0018,3,0.0031,5,0.0072,6
0.0014,2,0.0064,8,0.012,11
0.0014,2,0.0051,7,0.0038,4
0.0012,2,0.0062,11,0.0027,5
0.0013,2,0.0074,13,0.0129,8
0.002,3,0.0051,9,0.0065,5
0.0009,1,0.0103,12,0.0134,10
0.0006,1,0.0067,11,0.0082,7
0.0006,1,0.0068,8,0.0034,3
0.0024,3,0.005,9,0.012,7
0.0006,1,0.0057,9,0.0016,3
0.0027,4,0.0049,5,0.0123,10
0.0023,3,0.0076,10,0.0057,4
0.0028,4,0.0113,18,0.0095,7
0.0014,2,0.0084,13,0.0109,6
0.0011,2,0.0064,8,0.0118,9
0.0047,6,0.0071,9,0.0164,8
0.0057,8,0.0205,23,0.0124,10
0.0022,3,0.0164,27,0.0078,10
0.004,5,0.0132,18,0.0104,15
0.0044,7,0.0124,19,0.019,17
0.0032,5,0.0086,15,0.0189,14
0.0041,6,0.0118,12,0.0132,12
0.0046,6,0.0131,16,0.0132,11
0.0072,8,0.0137,24,0.017,18
0.0131,18,0.0285,39,0.0246,21
0.0087,13,0.0236,35,0.0195,20
0.0081,13,0.0183,28,0.0198,17
0.0115,16,0.0236,35,0.0244,24
0.0168,23,0.028,44,0.0322,25
0.0119,17,0.0333,48,0.0313,28
0.0241,34,0.0343,56,0.0296,30
0.0336,46,0.0388,62,0.0335,27
0.0237,32,0.0412,64,0.0462,37
0.0227,30,0.038,60,0.0296,30
0.0263,36,0.0344,53,0.029,33
0.0358,48,0.0466,72,0.0342,38
0.0428,59,0.046,76,0.042,40
0.0415,61,0.0494,72,0.039,45
0.0558,79,0.0583,94,0.0492,44
0.0506,72,0.0634,92,0.0395,34
0.0557,78,0.0564,90,0.04,45
0.0791,115,0.0655,105,0.0534,47
0.061,87,0.0565,83,0.0383,43
0.1011,139,0.0704,103,0.0601,57
0.0839,119,0.0727,105,0.0523,50
0.0672,96,0.062,99,0.0469,42
0.0768,111,0.078,112,0.0371,48
0.0893,125,0.0833,126,0.0493,54
0.0767,111,0.0675,107,0.0487,63
0.1045,148,0.0847,125,0.0549,67
0.0747,109,0.068,109,0.0427,46
0.1037,150,0.0842,136,0.0514,66
0.0994,145,0.0828,129,0.0619,68
0.116,163,0.089,134,0.0625,67
0.1202,168,0.0978,148,0.061,70
0.1103,153,0.0832,130,0.0577,75
0.0992,138,0.0808,123,0.0632,72
0.0946,134,0.0729,114,0.056,67
0.0757,109,0.076,119,0.0584,61
0.0812,115,0.0732,115,0.0565,61
0.089,128,0.0755,120,0.0596,67
0.0792,116,0.0715,110,0.0539,70
0.0684,104,0.0725,117,0.0432,53
0.0561,87,0.0678,111,0.0433,56
0.0669,96,0.0697,104,0.0468,60
0.0759,106,0.0806,121,0.0578,55
0.0687,102,0.0602,100,0.051,54
0.0602,86,0.067,105,0.0493,49
0.0534,77,0.0621,92,0.0524,54
0.0583,84,0.062,86,0.0654,63
0.0598,88,0.0614,91,0.0457,51
0.0365,53,0.053,86,0.0479,59
0.0534,76,0.0652,98,0.0472,48
0.0469,67,0.0639,95,0.061,61
0.0542,77,0.0677,97,0.0585,48
0.0382,56,0.0522,84,0.0457,51
0.0482,69,0.0671,98,0.0574,54
0.0562,78,0.0637,95,0.0563,54
0.0642,90,0.0594,94,0.0661,68
0.0462,68,0.0639,102,0.0575,63
0.0428,64,0.0535,83,0.0484,47
0.0588,84,0.0627,96,0.0587,56
0.0459,67,0.0591,90,0.055,59
0.0443,63,0.0655,92,0.0566,61
0.0581,82,0.0658,92,0.059,61
0.0485,65,0.0574,90,0.0559,62
0.0636,88,0.0615,95,0.0515,50
0.0529,78,0.0545,89,0.0503,54
0.0554,77,0.0657,95,0.0522,58
0.0492,68,0.0699,109,0.0514,54
0.0526,75,0.0673,106,0.053,59
0.049,69,0.0646,98,0.0579,61
0.0487,70,0.0676,101,0.0643,66
0.0495,69,0.0585,93,0.062,57
0.0468,66,0.0596,84,0.0562,64
0.0536,77,0.0643,99,0.0658,62
0.0533,77,0.0701,104,0.059,66
0.048,70,0.0691,103,0.0627,66
0.0649,93,0.077,113,0.0566,65
0.0598,81,0.0704,103,0.0661,66
0.0604,86,0.076,103,0.0597,64
0.0655,91,0.0696,101,0.0616,57
0.0691,95,0.0706,99,0.059,58
0.0599,83,0.0713,105,0.0595,75
0.0629,87,0.0682,94,0.05,52
0.0645,94,0.0799,109,0.0769,70
0.0527,76,0.0641,94,0.0633,69
0.0601,84,0.0697,109,0.0677,74
0.053,74,0.0629,94,0.0579,70
0.0822,113,0.0737,113,0.0706,69
0.0689,98,0.0654,97,0.0629,60
0.0696,97,0.0723,103,0.0684,70
0.0722,100,0.0672,102,0.06,62
0.0544,78,0.0645,100,0.0498,56
0.0735,102,0.0917,121,0.0699,70
0.0682,98,0.087,122,0.0618,64
0.0599,83,0.0651,101,0.0532,56
0.0578,79,0.0787,111,0.0605,65
0.0611,86,0.0789,104,0.0582,58
0.061,88,0.0719,116,0.0644,68
0.0818,114,0.0789,118,0.0565,67
0.0699,94,0.0799,113,0.075,86
0.0672,95,0.0649,101,0.0622,64
0.0522,75,0.0689,98,0.0615,69
0.0676,96,0.0705,107,0.0554,69
0.0621,88,0.0732,114,0.071,74
0.0899,127,0.0765,107,0.0732,75
0.0694,98,0.0766,120,0.0612,71
0.0813,110,0.0726,96,0.0687,80
0.0546,80,0.0738,110,0.0632,79
0.0703,98,0.0799,111,0.073,73
0.0817,119,0.0809,119,0.061,73
0.0611,86,0.0728,116,0.0577,66
0.0909,127,0.0827,122,0.0751,79
0.0677,98,0.0762,109,0.0649,69
0.0842,116,0.0759,106,0.0625,76
0.0773,111,0.0758,126,0.0587,71
0.0842,115,0.0949,135,0.0736,79
0.104,144,0.0938,134,0.0731,89
0.0916,128,0.0874,140,0.0746,82
0.0867,118,0.0821,125,0.0625,78
0.1149,153,0.0905,132,0.0695,94
0.0963,133,0.0829,116,0.0839,86
0.1154,151,0.0951,134,0.0814,96
0.139,183,0.113,156,0.0843,92
0.0941,128,0.0776,118,0.076,78
0.1216,163,0.0951,138,0.0666,85
0.1299,171,0.1059,142,0.0745,91
0.1174,160,0.1048,145,0.0722,90
0.1296,176,0.1092,150,0.071,88
0.1342,177,0.1151,169,0.0859,106
0.1744,203,0.1157,146,0.0919,114
0.2294,162,0.195,151,0.1293,125
0.2668,150,0.2138,149,0.1682,127
0.2732,162,0.2363,147,0.1886,119
0.2908,149,0.211,117,0.1836,112
0.247,162,0.1925,145,0.1633,119
0.2848,140,0.2577,133,0.235,103
0.2472,173,0.196,148,0.1724,130
0.2552,163,0.1808,133,0.1625,117
0.131,153,0.099,123,0.0761,84
0.1256,159,0.1026,149,0.0797,93
0.1525,171,0.1203,158,0.0833,102
0.1484,170,0.115,146,0.0892,108
0.1218,156,0.0894,130,0.083,104
0.1139,148,0.0907,124,0.0778,100
0.1062,143,0.0905,127,0.0665,88
0.1231,156,0.0963,141,0.079,95
0.23,153,0.1816,137,0.1564,98
0.2844,144,0.2555,131,0.2814,91
0.2672,135,0.2336,120,0.2629,110
0.292,145,0.2462,127,0.292,106
0.2483,145,0.2009,131,0.1892,108
0.1299,154,0.0996,119,0.0699,90
0.1016,139,0.0867,124,0.0783,92
0.0957,127,0.0718,109,0.0734,79
0.0844,114,0.0678,113,0.0522,73
0.0812,112,0.0699,106,0.0544,71
0.0633,89,0.0582,86,0.0506,57
0.0827,113,0.075,116,0.0629,69
0.0868,121,0.0754,110,0.048,67
0.0846,118,0.0808,120,0.0606,76
0.0609,87,0.0615,100,0.0546,73
0.0776,110,0.0657,98,0.0636,79
0.0696,95,0.0647,105,0.0495,58
0.0663,93,0.0668,102,0.0393,50
0.077,106,0.0549,91,0.0484,62
0.0601,83,0.0615,94,0.0508,58
0.0651,88,0.0615,90,0.0637,71
0.0477,69,0.0579,95,0.0561,64
0.0567,78,0.0501,75,0.0461,53
0.0577,80,0.0611,94,0.0525,62
0.0557,80,0.0562,92,0.0459,54
0.0439,66,0.0531,84,0.0471,56
0.0377,52,0.0506,79,0.0416,38
0.0327,49,0.0475,81,0.0449,53
0.0552,79,0.0469,80,0.0465,56
0.0398,56,0.0452,73,0.0392,50
0.0486,67,0.0585,81,0.0541,58
0.0382,55,0.0442,73,0.0383,52
0.0363,52,0.0443,78,0.0365,44
0.0289,38,0.0389,66,0.0365,41
0.0332,48,0.0359,62,0.0313,42
0.0328,45,0.045,67,0.0323,39
0.032,46,0.0516,81,0.0422,45
0.0263,37,0.0411,68,0.0264,37
0.033,46,0.0542,84,0.0478,47
0.0328,44,0.0409,65,0.0415,49
0.0312,43,0.0415,64,0.0399,48
0.0282,41,0.0387,60,0.0268,36
0.0331,46,0.0441,67,0.0348,48
0.0301,42,0.0397,67,0.0349,48
0.0254,36,0.0398,64,0.0394,45
0.0227,30,0.0439,71,0.0414,47
0.0241,34,0.0464,67,0.032,40
0.0174,25,0.0367,57,0.0397,49
0.0257,37,0.035,56,0.0401,46
0.0244,35,0.033,54,0.0222,30
0.0243,34,0.0472,71,0.0288,38
0.0182,27,0.0362,61,0.0322,39
0.0215,30,0.0378,64,0.0301,34
0.0207,28,0.0289,46,0.0307,26
0.0149,22,0.0291,49,0.0311,36
0.0132,19,0.0243,42,0.0318,39
0.0221,31,0.0343,56,0.0344,45
0.0222,29,0.0268,47,0.0256,31
0.0338,44,0.0381,60,0.0354,42
0.019,26,0.0337,56,0.0368,42
0.0248,35,0.0299,48,0.0229,36
0.0282,40,0.0341,56,0.0293,36
0.0144,22,0.0322,54,0.0214,26
0.0271,41,0.028,40,0.0425,34
0.019,27,0.0286,48,0.0306,37
0.0181,26,0.0327,53,0.022,35
0.019,27,0.0333,56,0.0255,28
0.0159,24,0.0208,38,0.0203,26
0.0181,27,0.0224,36,0.0298,29
0.0092,14,0.0222,38,0.0231,26
0.0066,9,0.0163,28,0.021,24
0.0129,18,0.0244,42,0.0181,21
0.0173,26,0.0278,47,0.0348,33
0.0122,17,0.0283,40,0.0203,24
0.0152,23,0.0232,39,0.027,25
0.0132,18,0.0207,31,0.0196,23
0.0141,21,0.0189,34,0.0197,20
0.0053,8,0.0214,34,0.0129,19
0.0138,20,0.0232,39,0.0186,25
0.0152,23,0.0221,38,0.0163,18
0.0116,17,0.0181,32,0.0182,23
0.0063,8,0.0165,30,0.0215,23
0.005,7,0.0191,26,0.014,14
0.0135,20,0.0196,35,0.0277,25
0.0063,9,0.0161,29,0.0131,22
0.0061,9,0.0147,25,0.0142,13
0.008,12,0.0181,28,0.0207,19
0.007,11,0.0154,22,0.0121,16
0.004,6,0.0124,22,0.0172,20
0.0053,8,0.0116,21,0.0132,16
0.0063,8,0.0138,20,0.0098,11
0.005,7,0.0136,22,0.0073,9
0.0018,3,0.0076,13,0.0157,14
0.0034,5,0.0116,20,0.0155,17
0.0052,7,0.0072,13,0.016,17
0.0021,3,0.0099,17,0.0076,11
0.0029,4,0.0082,15,0.0088,11
0.0013,2,0.0101,16,0.0091,11
0.0045,6,0.0115,18,0.0114,11
0.0018,2,0.0091,15,0.0076,7
0.0012,2,0.0079,14,0.0147,10
0.0039,5,0.0085,14,0.0147,10
0.0011,1,0.0141,18,0.0146,14
0.0028,4,0.0073,13,0.0053,6
0.0027,4,0.007,9,0.0128,9
0.0012,2,0.0085,15,0.0105,11
0.0012,2,0.0047,8,0.0103,10
0.0013,2,0.0103,14,0.0088,13
0.0014,2,0.0063,10,0.0097,11
0.0007,1,0.0065,11,0.0124,9
0.0029,5,0.0121,14,0.0217,17
0.0033,6,0.0083,14,0.0088,8
0.0014,2,0.0093,11,0.0126,11
0.0022,4,0.0073,12,0.0107,13
0.0026,4,0.0113,13,0.0092,7
0.0031,4,0.0081,11,0.0149,9
0.0026,4,0.0085,13,0.0109,8
0.002,3,0.0046,8,0.0117,10
0.0007,1,0.0074,9,0.0133,8
0.0027,4,0.0057,7,0.0097,7
0.0007,1,0.0043,7,0.0087,7
0.0026,4,0.0056,10,0.0153,7
0.0006,1,0.0021,4,0.0077,7
0.0008,1,0.0078,12,0.0145,9
0.0013,2,0.0043,8,0.0305,13
0,0,0.0069,9,0.0126,10
0.003,4,0.0079,12,0.0133,10
0.001,1,0.0061,10,0.0174,13
0,0,0.0054,9,0.0111,8
0,0,0.0051,7,0.0213,16
0.001,1,0.0085,11,0.0113,8
0.0008,1,0.0059,9,0.0135,8
0.0023,3,0.0043,8,0.0171,10
0.0013,2,0.0071,11,0.0174,13
0.0019,3,0.015,16,0.0229,14
0.0049,6,0.0144,20,0.0161,10
0.0012,2,0.0099,12,0.0156,12
0.0014,2,0.0082,14,0.0241,19
0.0061,9,0.0117,19,0.0232,15
0.0037,5,0.016,22,0.013,11
0.0047,6,0.0177,22,0.0182,15
0.0042,6,0.0103,15,0.0262,18
0.0047,7,0.013,16,0.0228,18
0.0058,7,0.0131,19,0.0248,16
0.0102,15,0.0262,30,0.0438,27
0.0096,13,0.0174,25,0.02,20
0.0107,16,0.0237,36,0.0271,27
0.0095,13,0.0318,45,0.0309,23
0.0154,21,0.0281,45,0.0284,21
0.0228,31,0.0339,49,0.0302,29
0.0279,39,0.0348,55,0.0325,38
0.0221,29,0.0367,60,0.0293,31
0.0327,46,0.0327,53,0.0362,31
0.0215,29,0.0376,56,0.0335,33
0.0284,40,0.0416,64,0.0391,33
0.031,42,0.0505,74,0.0543,44
0.0495,71,0.0515,78,0.0398,40
0.0376,56,0.0484,75,0.0441,45
0.0597,83,0.0539,90,0.0376,40
0.063,85,0.0568,80,0.0533,52
0.0733,103,0.0673,106,0.0398,42
0.076,107,0.0524,80,0.0465,51
0.0809,114,0.0688,100,0.0627,60
0.0877,125,0.065,91,0.0563,56
0.0665,95,0.0683,98,0.0495,48
0.0762,104,0.0721,101,0.0526,45
0.0758,107,0.0738,104,0.0518,52
0.083,111,0.0796,123,0.0565,65
0.1105,143,0.0841,119,0.052,59
0.1251,163,0.0919,133,0.0693,73
0.117,160,0.0915,126,0.0559,61
0.1137,157,0.0862,116,0.0541,69
0.1223,165,0.0866,133,0.0628,74
0.13,176,0.093,139,0.0825,90
0.133,170,0.1022,143,0.0632,75
0.3694,108,0.2608,79,0.3729,48
0.4519,93,0.414,64,0.4651,38
0.4469,106,0.3473,70,0.4834,34
0.3949,99,0.3847,65,0.5011,48
0.4292,101,0.3823,66,0.4758,33
0.4586,89,0.3614,63,0.5102,36
0.4392,86,0.4239,57,0.4223,35
0.2722,134,0.2626,120,0.257,78
0.2808,160,0.2392,147,0.2551,114
0.2064,130,0.1645,112,0.137,87
0.0758,104,0.073,115,0.0612,59
0.0788,109,0.0682,98,0.0664,70
0.0755,104,0.0688,105,0.0645,60
0.0717,105,0.0782,110,0.0572,62
0.0527,74,0.0617,101,0.0439,51
0.0537,78,0.0692,103,0.0575,64
0.0485,69,0.0564,88,0.0495,59
0.0552,77,0.0589,94,0.0549,64
0.0516,73,0.0539,81,0.0547,56
0.0505,70,0.0654,100,0.0569,53
0.0508,72,0.0563,91,0.0586,64
0.0451,64,0.0698,107,0.0568,61
0.0462,66,0.0777,115,0.0545,58
0.0392,57,0.0586,94,0.0492,48
0.0509,71,0.0663,96,0.0621,57
0.0537,76,0.0604,85,0.0505,57
0.0489,68,0.0621,98,0.052,50
0.0497,70,0.0642,94,0.0551,50
0.0379,53,0.0568,90,0.0482,55
0.0454,64,0.0537,81,0.0625,59
0.0457,65,0.0632,91,0.0438,51
0.0599,86,0.0646,89,0.0545,58
0.0469,66,0.0561,88,0.0499,54
0.0474,71,0.0636,100,0.0567,66
0.0515,72,0.0655,85,0.051,51
0.0728,101,0.0637,92,0.047,54
0.0417,62,0.0612,94,0.0639,60
0.0467,68,0.0592,80,0.0634,58
0.0481,69,0.0587,95,0.0553,63
0.0492,66,0.0698,102,0.0433,56
0.0427,59,0.0611,90,0.0563,65
0.0443,62,0.06,83,0.0423,49
0.0474,66,0.0689,106,0.0518,55
0.0556,74,0.0582,92,0.0483,60
0.0581,81,0.0668,106,0.0699,76
0.0587,81,0.0754,113,0.0586,63
0.0483,70,0.0619,97,0.0566,59
0.0634,88,0.0698,105,0.0799,77
0.0531,73,0.0595,83,0.0462,54
0.0563,79,0.0746,107,0.0761,71
0.0476,70,0.0678,85,0.0686,73
0.0533,76,0.0652,98,0.0525,60
0.0637,89,0.0719,105,0.0555,57
0.0637,87,0.0768,98,0.0617,76
0.0631,85,0.0696,95,0.0679,67
0.0572,81,0.0754,108,0.0716,73
0.0583,83,0.0612,87,0.0658,63
0.0858,112,0.076,106,0.0497,78
0.0679,95,0.0821,102,0.0707,66
0.0587,81,0.0709,103,0.073,70
0.0591,85,0.0794,109,0.0709,61
0.0605,88,0.073,109,0.0677,66
0.051,74,0.0734,105,0.0685,66
0.049,70,0.0659,98,0.0744,78
0.0792,109,0.0824,117,0.0801,89
0.0469,66,0.0702,108,0.0634,66
0.0694,96,0.0763,112,0.0702,71
0.0585,87,0.0792,116,0.0662,71
0.0642,90,0.0749,104,0.0578,68
0.0595,86,0.0607,92,0.0537,62
0.0698,95,0.0715,110,0.0645,68
0.0755,107,0.0707,101,0.0731,83
0.0707,100,0.0821,127,0.075,84
0.0741,104,0.0756,103,0.0561,67
0.065,88,0.0671,89,0.0702,67
0.0509,74,0.0585,89,0.0418,53
0.081,109,0.0805,121,0.0747,81
0.0975,130,0.0925,126,0.0841,82
0.0901,123,0.0923,124,0.0806,90
0.0893,126,0.0883,132,0.0772,88
0.0771,107,0.0779,112,0.0651,72
0.0823,116,0.0776,113,0.0608,71
0.0862,120,0.0838,127,0.0685,71
0.1071,142,0.103,138,0.0859,76
0.1011,139,0.0793,130,0.0648,71
0.1065,142,0.0844,120,0.0702,85
0.1091,147,0.0948,134,0.0775,85
0.0857,114,0.0859,116,0.065,70
0.1178,160,0.0969,128,0.0816,88
0.1357,171,0.1073,146,0.0675,87
0.1176,154,0.0968,135,0.0754,90
0.1163,155,0.0996,150,0.0915,97
0.1029,138,0.0889,133,0.0868,98
0.1359,179,0.0995,143,0.0772,105
0.1629,199,0.1231,174,0.0818,96
0.1638,184,0.1286,160,0.0989,111
0.2351,166,0.1742,133,0.1468,130
0.2153,160,0.1956,157,0.1626,132
