Occ1,Flow1,Occ2,Flow2,Occ3,Flow3
0.0779,107,0.074,110,0.0666,75
0.0872,117,0.0847,111,0.0695,65
0.0771,106,0.0846,114,0.0593,61
0.0818,113,0.0789,111,0.0582,69
0.0951,128,0.0801,124,0.0727,81
0.1119,147,0.0861,120,0.0672,78
0.1122,149,0.0956,124,0.0777,82
0.0812,110,0.0803,121,0.0731,84
0.1089,143,0.0832,115,0.0659,83
0.104,144,0.1041,126,0.0759,86
0.1154,159,0.0919,129,0.0742,85
0.111,146,0.0968,141,0.0683,77
0.1144,151,0.0879,134,0.0649,74
0.0929,125,0.0891,132,0.0717,78
0.1003,142,0.0796,122,0.0717,78
0.1397,183,0.1075,155,0.0663,77
0.1243,170,0.0898,131,0.066,81
0.1134,152,0.0871,136,0.0769,91
0.1447,186,0.0982,134,0.0857,95
0.1309,168,0.1026,143,0.077,89
0.1253,168,0.1011,139,0.0727,78
0.1484,192,0.1045,145,0.089,97
0.153,191,0.1111,143,0.0873,101
0.1441,190,0.1112,160,0.0731,99
0.1508,198,0.1041,153,0.0686,84
0.1369,182,0.0976,136,0.0781,93
0.1383,178,0.0983,144,0.081,95
0.1566,195,0.1107,145,0.0739,90
0.1986,176,0.158,148,0.1104,99
0.31,152,0.1983,130,0.1571,116
0.2402,155,0.2276,134,0.1633,117
0.2676,129,0.2483,131,0.2079,115
0.3271,123,0.2883,106,0.2918,80
0.2846,122,0.2448,106,0.2656,86
0.319,117,0.2945,105,0.2469,81
0.3575,103,0.351,81,0.2962,71
0.407,96,0.334,86,0.4163,66
0.3454,98,0.3472,93,0.3313,81
0.3718,102,0.3159,92,0.2858,77
0.3433,95,0.3029,87,0.2986,74
0.3412,100,0.3234,93,0.2748,73
0.38,97,0.3434,82,0.3195,71
0.3148,119,0.2812,96,0.2565,96
0.3417,108,0.3286,102,0.2634,84
0.2767,118,0.2661,110,0.2312,105
0.2889,122,0.2704,113,0.1982,103
0.2949,124,0.2662,114,0.2374,92
0.289,124,0.291,108,0.3238,78
0.3344,111,0.3321,103,0.2607,96
0.3069,127,0.2663,117,0.2753,108
0.2989,126,0.2663,123,0.2074,111
0.2533,129,0.2105,122,0.2117,118
0.3141,117,0.2775,118,0.2565,97
0.3439,119,0.3159,108,0.2695,90
0.3873,126,0.2955,102,0.2642,95
0.3023,134,0.2736,127,0.2684,104
0.2798,133,0.2218,131,0.1789,116
0.3076,139,0.2709,127,0.2678,116
0.2945,133,0.2355,123,0.2417,109
0.3146,130,0.2774,111,0.3018,97
0.2749,137,0.2456,132,0.2152,124
0.2832,146,0.2254,138,0.2206,121
